busco_id	helixer_seq	helixer_chrom_cm	helixer_chrom_int	helixer_start	helixer_end	helixer_busco_score	helixer_busco_length	gmb_overlapping	gmb_evidence	classification	refined_classification	note
10004at93133	_CM001196.1_002208.1	CM001196.1	1	1162285	1163488	583.7	284	ZTRITICI_00392.t2,ZTRITICI_00392.t1	Helixer,Scallop,Helixer,Scallop,StringTie	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=323aa expected=284aa ratio=1.14
10100at93133	_CM001205.1_000478.1	CM001205.1	10	921081	922497	514.3	257	ZTRITICI_10366.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=265aa expected=257aa ratio=1.03
10112at93133	_CM001196.1_000826.1	CM001196.1	1	4131873	4133246	537.7	253	ZTRITICI_01455.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01455.t1:5p_dropped
10123at93133	_CM001196.1_001855.1	CM001196.1	1	2872797	2873926	313.6	141	ZTRITICI_01005.t1,ZTRITICI_01006.t1	Helixer,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:23828at93133
10142at93133	_CM001199.1_000788.1	CM001199.1	4	1710677	1712415	823.7	378	ZTRITICI_05143.t2,ZTRITICI_05143.t1,ZTRITICI_05145.t1	Scallop,Helixer,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:8200at93133
10219at93133	_CM001198.1_001017.1	CM001198.1	3	1695946	1698390	1103.9	545	ZTRITICI_03967.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=570aa expected=545aa ratio=1.05
1022at93133	_CM001201.1_000839.1	CM001201.1	6	297579	298806	448.3	226	ZTRITICI_06573.t1	Helixer,Scallop	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=228aa expected=226aa ratio=1.01
1023at93133	_CM001197.1_001202.1	CM001197.1	2	1374844	1377158	1152.5	531	ZTRITICI_02583.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=534aa expected=531aa ratio=1.01
10257at93133	_CM001196.1_002250.1	CM001196.1	1	946431	949231	1502.6	726	ZTRITICI_00308.t1,ZTRITICI_00309.t1,ZTRITICI_00310.t2,ZTRITICI_00310.t1	Helixer,StringTie,Helixer,StringTie,Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:2337at93133,14887at93133
10270at93133	_CM001200.1_000617.1	CM001200.1	5	2147456	2148997	524.9	265	ZTRITICI_06275.t2,ZTRITICI_06278.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:4846at93133
10276at93133	_CM001196.1_001968.1	CM001196.1	1	2278164	2279738	566.2	276	ZTRITICI_00786.t2,ZTRITICI_00789.t1	Scallop,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:17614at93133
10280at93133	_CM001199.1_000766.1	CM001199.1	4	1815390	1817780	1196.2	647	ZTRITICI_05185.t1	StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_05185.t1:5p_dropped,ZTRITICI_05185.t1:3p_dropped
10282at93133	_CM001197.1_001017.1	CM001197.1	2	2297637	2299391	718.9	365	ZTRITICI_02895.t1	Helixer	Present_Helixer_model	Helixer_kept_protein_bad_sequence	best_prot=371aa expected=365aa ratio=1.02
10290at93133	_CM001196.1_001235.1	CM001196.1	1	5920950	5922525	609.8	318	ZTRITICI_02079.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_02079.t1:5p_dropped,ZTRITICI_02079.t1:3p_dropped
10291at93133	_CM001196.1_001697.1	CM001196.1	1	3599665	3601059	470.6	242	ZTRITICI_01277.t2,ZTRITICI_01278.t1,ZTRITICI_01277.t2,ZTRITICI_01278.t1	Scallop,StringTie,Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_unsupported:ZTRITICI_01277.t2:3p_dropped,ZTRITICI_01278.t1:5p_dropped,ZTRITICI_01277.t2:3p_dropped,ZTRITICI_01278.t1:5p_dropped
10292at93133	_CM001201.1_000425.1	CM001201.1	6	2456198	2459356	1659.2	823	.	.	Dropped_locus	Dropped_locus_no_model	No GMB mRNA at Helixer locus
10320at93133	_CM001197.1_001148.1	CM001197.1	2	1581255	1582876	595.2	266	ZTRITICI_02637.t1,ZTRITICI_02656.t1	Helixer,StringTie,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:18814at93133
10328at93133	_CM001203.1_000570.1	CM001203.1	8	1562166	1567864	3340.0	1532	ZTRITICI_09130.t2,ZTRITICI_09132.t2,ZTRITICI_09134.t1	StringTie,Scallop,Helixer	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:18728at93133
1033at93133	_CM001196.1_002066.1	CM001196.1	1	1836458	1837592	590.2	282	ZTRITICI_00624.t1	Scallop,StringTie	Replaced_transcriptome_model	Replaced_transcriptome_model	UTR_supported
10383at93133	_CM001197.1_000983.1	CM001197.1	2	2415788	2417354	614.7	311	ZTRITICI_02945.t2,ZTRITICI_02945.t1,ZTRITICI_02946.t1	Scallop,Helixer,Helixer,StringTie	Present_Helixer_model	Spatial_overlap_wrong_gene	gmb_proteins_match_other_busco:23019at93133
